Facility,Department,Casper ID,Date,Time,Shipment/Bag ID,Seal ID,PTC Code,Device #
MotherHub_YKB,MH-PRIMARY,2633536,19-10-2023,05:05 PM,FMPC3160727567,"","",H4050C210600300
MotherHub_YKB,MH-PRIMARY,2526768,19-10-2023,05:05 PM,FMPC3162402445,"","",H4050C210800759
MotherHub_YKB,MH-PRIMARY,2599626,19-10-2023,05:05 PM,FMPP1953366258,"","",H4050C210600154
MotherHub_YKB,MH-IRT-OUT,2310091,19-10-2023,05:05 PM,"",VSC42732408-21,"",H4050C180800949
MotherHub_YKB,MH-SECONDARY IN,2317678,19-10-2023,05:05 PM,FMPC3161479595,"","",H4050C210800183
MotherHub_YKB,MH-SECONDARY IN,2660318,19-10-2023,05:05 PM,FMPC3160216253,"","",H4050C200700420
MotherHub_YKB,MH-SECONDARY IN,2528146,19-10-2023,05:05 PM,FMPP1954327392,"","",H4050C210600297
MotherHub_YKB,MH-PRIMARY,2659442,19-10-2023,05:05 PM,FMPP1954533294,"","",H4050C210700661
MotherHub_YKB,"","",19-10-2023,05:05 PM,FMPP1952328770,"","",H4050C210600518
MotherHub_YKB,MH-PRIMARY,2659441,19-10-2023,05:05 PM,FMPC3159917129,"","",H4050C210701077
MotherHub_YKB,MH-PRIMARY,2626826,19-10-2023,05:05 PM,F-44568205428725494,"","",H4050C210700192
MotherHub_YKB,MH-SECONDARY IN,2523182,19-10-2023,05:05 PM,FMPP1953961074,"","",H4050C210800844
MotherHub_YKB,MH-OUTBOUND,2735900,19-10-2023,05:05 PM,FMPP1953006123,"","",H4050C210600452
MotherHub_YKB,MH-PRIMARY,2692231,19-10-2023,05:05 PM,FMPC3159593574,"","",H4050C180800383
MotherHub_YKB,MH-PRIMARY,2377870,19-10-2023,05:05 PM,FMPC3155358096,"","",H4050C210600828
MotherHub_YKB,MH-INBOUND,2561112,19-10-2023,05:05 PM,"",SLB28296408-23,"",H4050C210600454
MotherHub_YKB,MH-PRIMARY,2695593,19-10-2023,05:05 PM,C-5122669445020761,"","",H4050C210800171
MotherHub_YKB,MH-SECONDARY IN,2585830,19-10-2023,05:05 PM,FMPP1953134767,"","",H4050C210702004
MotherHub_YKB,MH-PRIMARY,2926392,19-10-2023,05:05 PM,H-5093519162519573,"","",H4050C210800486
MotherHub_YKB,MH-PRIMARY,2661674,19-10-2023,05:05 PM,FMPC3161776020,"","",H4050C210702039
MotherHub_YKB,MH-SECONDARY IN,2523182,19-10-2023,05:05 PM,FMPP1954071322,"","",H4050C210800844
MotherHub_YKB,MH-PRIMARY,2661673,19-10-2023,05:05 PM,FMPC3161774830,"","",H4050C210600484
MotherHub_YKB,MH-PRIMARY,2629294,19-10-2023,05:05 PM,FMPC3161761470,"","",H4050C210800016
MotherHub_YKB,MH-OUTBOUND,2641833,19-10-2023,05:05 PM,"",SLC31579116-23,"",H4050C210601065
MotherHub_YKB,MH-PRIMARY,2659442,19-10-2023,05:05 PM,FMPC3145101120,"","",H4050C210700661
MotherHub_YKB,"","",19-10-2023,05:05 PM,FMPC3159305023,"","",H4050C210600518
MotherHub_YKB,MH-INBOUND,2561112,19-10-2023,05:05 PM,PH-ZO-DELYKB-29422751,"","",H4050C210600454
MotherHub_YKB,MH-PRIMARY,2829515,19-10-2023,05:05 PM,A-14254250421660410,"","",H4050C210600305
MotherHub_YKB,MH-SECONDARY IN,2458359,19-10-2023,05:05 PM,FMPC3161110982,"","",H4050C210600437
MotherHub_YKB,MH-PRIMARY,2599626,19-10-2023,05:05 PM,FMPC3159748423,"","",H4050C210600154
